NO,NET PLOT AREA IN SQ.MTR,NET PLOT AREA IN SQ.YDS,NET PLOT AREA IN SQ.FEET,BUILT UP AREA IN SQ.MTR,BUILT UP AREA IN SQ.YDS,BUILT UP AREA IN SQ.FEET,TOTAL PLOT AREA IN SQ. MTR,TOTAL PLOT AREA IN SQ. YDS,TOTAL PLOT AREA IN SQ. FEET,RATE (1500)*(900),9 % Pricing Discount Rates ( 1350 * 810 ),Status
C-1,296.55,354.67,3192.04,175.13,209.46,1885.09,471.68,564.13,5077.127183,7615691,6930279,Sold Out
C-2,168.26,201.24,1811.14,99.37,118.84,1069.58,267.63,320.08,2880.719675,4321080,3932182,
C-3,174.83,209.1,1881.85,103.25,123.48,1111.35,278.08,332.58,2993.202311,4489803,4085721,Sold Out
C-4,181.41,216.97,1952.68,107.13,128.13,1153.18,288.54,345.1,3105.856153,4658784,4239494,Sold Out
C-5,187.98,224.82,2023.4,111.01,132.77,1194.94,298.99,357.6,3218.338789,4827508,4393032,Sold Out
C-6,194.55,232.68,2094.12,114.89,137.41,1236.7,309.44,370.09,3330.821424,4996232,4546571,
C-7,201.12,240.54,2164.84,118.77,142.05,1278.47,319.89,382.59,3443.30406,5164956,4700110,
C-8,207.69,248.4,2235.56,122.65,146.69,1320.23,330.34,395.09,3555.786696,5333680,4853649,
C-9,214.26,256.25,2306.28,126.53,151.33,1361.99,340.79,407.59,3668.269331,5502404,5007188,Sold Out
C-10,220.83,264.11,2376.99,130.41,155.97,1403.76,351.24,420.09,3780.751967,5671128,5160726,
C-11,233.66,279.46,2515.1,137.99,165.04,1485.31,371.65,444.49,4000.409838,6000615,5460559,Sold Out
C-12,239.64,286.61,2579.46,141.52,169.26,1523.33,381.16,455.87,4102.791293,6154187,5600310,Sold Out
C-13,245.63,293.77,2643.94,145.06,173.49,1561.4,390.69,467.26,4205.343955,6308016,5740294,
C-14,251.61,300.93,2708.31,148.59,177.71,1599.42,400.2,478.64,4307.72541,6461588,5880045,Sold Out
C-15,257.56,308.04,2772.35,152.1,181.92,1637.24,409.66,489.96,4409.593246,6614390,6019095,Sold Out
C-16,253.91,303.68,2733.06,149.95,179.34,1614.04,403.86,483.02,4347.102893,6520654,5933795,Sold Out
C-17,319.62,382.27,3440.36,188.75,225.75,2031.74,508.37,608.02,5472.100456,8208151,7469417,
1,165.26,197.65,1778.84,97.6,116.72,1050.51,262.86,314.38,2829.357741,2546422,2317244,
2,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
3,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,Sold Out
4,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
5,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,Sold Out
6,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
7,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
8,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
9,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,Sold Out
10,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
11,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
12,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
13,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,Sold Out
14,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,
15,156.03,186.61,1679.49,92.15,110.21,991.84,248.18,296.82,2671.334191,2404201,2187823,Sold Out
